"","Song","Artist"
"1","Looking for paradise","Alejandro Sanz;Alicia Keys"
"2","I gotta feeling","The Black Eyed Peas"
"3","Esclavo de sus besos","David Bisbal"
"4","Antes de que cuente diez","Fito & Fitipaldis"
"5","Ayo technology","Milow"
"6","Manos al aire","Nelly Furtado"
"7","Por quererte","Efecto Mariposa"
"8","Happy","Leona Lewis"
"9","Halo","Beyoncé"
"10","I'm yours","Jason Mraz"
"11","Mama do (Uh oh, uh oh)","Pixie Lott"
"12","Breathe slow","Alesha Dixon"
"13","Solo quiero bailar","Zenttric"
"14","When love takes over","David Guetta;Kelly Rowland"
"15","Que me queda","Antonio Orozco"
"16","Doesn't mean anything","Alicia Keys"
"17","La lluvia","María Villalón"
"18","Pick me up","Emilia de Poret"
"19","You know me","Robbie Williams"
"20","Rain","Mika"
"21","Lo hecho está hecho","Shakira"
"22","Quiero aprender de ti","El Canto del Loco"
"23","Russian roulette","Rihanna"
"24","Tienes que hacerlo por ti","Calle París"
"25","Summercat","Billie The Vision & the Dancers"
"26","Moving","Macaco"
"27","We weren't born to follow","Bon Jovi"
"28","Lady Madrid","Pereza"
"29","Nada se compara a ti","Carlos Baute"
"30","Get to you","James Morrison"
"31","Te voy a decir una cosa","Amaia Montero"
"32","Tiramisú de limón","Joaquín Sabina;Pereza"
"33","Con sólo una mirada","Georgina"
"34","La suerte de mi vida","El Canto del Loco"
"35","Duele","Chenoa"
"36","Si no estás","El Sueño de Morfeo"
"37","Loba","Shakira"
"38","Tengo","Macaco"
"39","Colgando en tus manos","Carlos Baute;Marta Sánchez"
"40","Recuérdame","Marc Anthony;La Quinta Estación"
