,Song,Artist
1,Meet me halfway,The Black Eyed Peas
2,Cosas que suenan a...,Maldita Nerea
3,Tik tok,Ke$ha
4,Sexy bitch,David Guetta;Akon
5,El run run,Rosario;Estopa
6,Stereo love,Edward Maya;Molella
7,Fight for this love,Cheryl
8,Sick of love,Robert Ramírez
9,Bad romance,Lady GaGa
10,Fireflies,Owl City
11,We are the world 25 for Haiti,NA
12,Gitana (Pop version),Shakira
13,Desde cuando,Alejandro Sanz
14,Release me,Agnes
15,Quiero aprender de ti,El Canto del Loco
16,Todo me da igual,Pignoise
17,We weren't born to follow,Bon Jovi
18,Como una vela,Melendi
19,Telephone,Lady GaGa;Beyoncé
20,Ay Haití!,Carlos Jean;Varios
21,Estuve a punto de...,Miguel Bosé
22,Bipolar,POL 3.14
23,Diez minutos,Efecto Mariposa
24,If we ever meet again,Timbaland;Katy Perry
25,Russian roulette,Rihanna
26,Que nadie,Manuel Carrasco;Malú
27,Whatcha say,Jason Derülo
28,Sin mirar atras,David Bisbal
29,I got you,Leona Lewis
30,Aunque me pidas perdón,Taxi
31,Antes de que cuente diez,Fito & Fitipaldis
32,Ayo technology,Milow
33,Gracias,Despistaos
34,Rude boy,Rihanna
35,Con sólo una mirada,Georgina
36,Bien o mal,Julieta Venegas
37,Sweet dreams,Beyoncé
38,Miedo a perderte,TeenAngels
39,Llévatelo,Antonio Orozco
