"","Song","Artist"
"1","Antes que ver el sol","Coti"
"2","Hung up","Madonna"
"3","Volverá","El Canto del Loco"
"4","You're beautiful","James Blunt"
"5","Con sólo una sonrisa","Melendi"
"6","No","Shakira;Gustavo Cerati"
"7","Vacaciones","Estopa"
"8","Don't lie","The Black Eyed Peas"
"9","Para tu amor","Juanes"
"10","No me crees","Efecto Mariposa;Javier Ojeda"
"11","Welcome to my life","Simple Plan"
"12","Cien gaviotas","Álex Ubago;Amaia Montero;Carlos Goñi;Cristina Lliso;David Summers;Quique González;Despistaos"
"13","Everything burns","Anastacia;Ben Moody"
"14","Have a nice day","Bon Jovi"
"15","Marta, Sebas, Guille y los demás","Amaral"
"16","Rutinas","Chenoa"
"17","Talk","Coldplay"
"18","Don't bother","Shakira"
"19","Pokito a poko","Chambao"
"20","Breathe in","Lucie Silvas"
"21","Wake me up when september ends","Green Day"
"22","Tripping","Robbie Williams"
"23","Tu oportunidad","Taxi"
"24","Just feel better","Santana;Steven Tyler"
"25","Crazy","Alanis Morissette"
"26","Eras tú","Merche"
"27","Wake up","Hilary Duff"
"28","Okupa de tu corazón","El Sueño de Morfeo"
"29","Pieces of a dream","Anastacia"
"30","Old town","The Corrs"
"31","Friend or Foe","t.A.T.u."
"32","Getaway","Texas"
"33","Para no olvidar","Andrés Calamaro"
"34","My spirit flies to you","Monjes Budistas"
"35","Una y otra vez","Antonio Orozco"
"36","Los restos del naufragio","Miranda Warning"
"37","Bend & break","Keane"
"38","Todo","Pereza"
"39","Días de verano","Amaral"
"40","Zapatillas","El Canto del Loco"
