,Song,Artist,Genre,Position,Year,Week
0,Sopa fría,M-Clan,"Hard Rock, Classic Rock, Rock",1,2005,1
1,Nada valgo sin tu amor,Juanes,"Pop Rock, Pop, Latin, Rock",2,2005,1
2,¿Por qué no ser amigos?,Hombres G;Dani Martín,"Pop Rock, Pop, Latin, Rock",3,2005,1
3,Vertigo,U2,"Pop Rock, Rock",4,2005,1
4,Tú no tienes alma,Alejandro Sanz,"Soft Rock, Latin, Acoustic, Rock, Pop Rock",5,2005,1
5,Es mi soledad,Antonio Orozco,"Pop, Latin, Rock",6,2005,1
6,Llevo tu voz,La Sonrisa de Julia,"Pop, Pop Rock, Rock",7,2005,1
7,Con la luna llena,Melendi,"Pop Rock, Pop, Latin, Rock",8,2005,1
8,Me derrumbo (Crumbling),David Bisbal,"Pop, Ballad, Latin, Europop, Pop Rock",9,2005,1
9,Precisamente ahora,David DeMaría,"Vocal, Pop, Latin, Ballad",10,2005,1
10,Missing,Evanescence,"Alternative Rock, Rock",11,2005,1
11,Escucha atento,Laura Pausini,"Electronic, House",12,2005,1
12,Welcome to my truth,Anastacia,"Pop, Soul, Ballad, Funk / Soul, Southern Rock, Rock, Pop Rock",13,2005,1
13,(Reach up for the) Sunrise,Duran Duran;Jason Nevins,"Electronic, Downtempo, Synth-pop, Rock",14,2005,1
14,Lose my breath,Destiny's Child,"RnB/Swing, Hip Hop",15,2005,1
15,Cuéntame,Alea,"Pop, Latin",16,2005,1
16,Quiero ser tu sueño,Andy & Lucas,"Pop, Latin, Flamenco",17,2005,1
17,Sé lo que hicisteis,Melendi,"Pop Rock, Pop, Latin, Rock",18,2005,1
18,Un nuevo día brillará,Luz Casal,"Pop, Ballad",19,2005,1
19,Con mis manos,Bebe,"Rumba, Latin, Acoustic, Rock, Folk, World, & Country",20,2005,1
20,No soy un bastritboy,,"Parody, Pop, Latin",21,2005,1
21,Ya no me acuerdo,Estopa,"Rumba, Pop, Latin",22,2005,1
22,Enjoy the silence (Reinterpreted),Depeche Mode;Mike Shinoda,"Synth-pop, Leftfield, Electronic, Downtempo, Rock, Nu Metal",23,2005,1
23,Just lose it,Eminem,Hip Hop,24,2005,1
24,She will be loved,Maroon 5,"Pop Rock, Rock",25,2005,1
25,These words,Natasha Bedingfield,"Electronic, Downtempo, Hip Hop",26,2005,1
26,Daría,La Quinta Estación,"Pop, Latin, Soft Rock, Rock",27,2005,1
27,Let me show you (The way),Natasha Thomas,"Electronic, Europop, Pop",28,2005,1
28,Caracola submarina,Pedro Javier Hermosilla,"Vocal, Pop",29,2005,1
29,Para que no se duerman mis sentidos,Manolo García,"Acoustic, Folk Rock, Pop Rock, Rock",30,2005,1
30,Tan sólo palabras,Marc Anthony,"Pop, Latin",31,2005,1
31,Fly,Hilary Duff,"Power Pop, Rock, Pop Punk, Alternative Rock, Pop Rock",32,2005,1
32,I believe in you,Kylie Minogue,Jazz,33,2005,1
33,My prerogative,Britney Spears,"Electronic, House",34,2005,1
34,The love of Richard Nixon,Manic Street Preachers,"Indie Rock, Rock",35,2005,1
35,Gravity,Embrace,"Indie Rock, Rock",36,2005,1
36,Curtain falls,Blue,"Pop, Electronic, Pop Rap, Blues, Hip Hop, Rhythm & Blues",37,2005,1
37,Romeo y Julieta (no eran de este planeta),Jarabe de Palo,Pop,38,2005,1
38,Nobody's home,Avril Lavigne,"Pop Rock, Alternative Rock, Rock",39,2005,1
39,Party for two,Shania Twain;Mark McGrath,"Pop, Country Rock, Rock",40,2005,1
40,Nada valgo sin tu amor,Juanes,"Pop Rock, Pop, Latin, Rock",1,2005,2
41,¿Por qué no ser amigos?,Hombres G;Dani Martín,"Pop Rock, Pop, Latin, Rock",2,2005,2
42,Vertigo,U2,"Pop Rock, Rock",3,2005,2
43,Sopa fría,M-Clan,"Hard Rock, Classic Rock, Rock",4,2005,2
44,Sé lo que hicisteis,Melendi,"Pop Rock, Pop, Latin, Rock",5,2005,2
45,Es mi soledad,Antonio Orozco,"Pop, Latin, Rock",6,2005,2
46,She will be loved,Maroon 5,"Pop Rock, Rock",7,2005,2
47,Enjoy the silence (Reinterpreted),Depeche Mode;Mike Shinoda,"Synth-pop, Leftfield, Electronic, Downtempo, Rock, Nu Metal",8,2005,2
48,Una tarde de sol,Manolo García,"Pop, Folk Rock, Acoustic, Rock, Pop Rock",9,2005,2
49,Quiero ser tu sueño,Andy & Lucas,"Pop, Latin, Flamenco",10,2005,2
50,These words,Natasha Bedingfield,"Electronic, Downtempo, Hip Hop",11,2005,2
51,Fin de semana,Estopa,"Pop Rock, Rock",12,2005,2
52,Con mis manos,Bebe,"Rumba, Latin, Acoustic, Rock, Folk, World, & Country",13,2005,2
53,Let me show you (The way),Natasha Thomas,"Electronic, Europop, Pop",14,2005,2
54,Missing,Evanescence,"Alternative Rock, Rock",15,2005,2
55,Precisamente ahora,David DeMaría,"Vocal, Pop, Latin, Ballad",16,2005,2
56,Everybody's changing,Keane,"Pop Rock, Indie Rock, Brit Pop, Rock",17,2005,2
57,Tú no tienes alma,Alejandro Sanz,"Soft Rock, Latin, Acoustic, Rock, Pop Rock",18,2005,2
58,Un nuevo día brillará,Luz Casal,"Pop, Ballad",19,2005,2
59,Lose my breath,Destiny's Child,"RnB/Swing, Hip Hop",20,2005,2
60,Tan sólo palabras,Marc Anthony,"Pop, Latin",21,2005,2
61,Leave (Get out),JoJo,"Electronic, RnB/Swing, Hip Hop",22,2005,2
62,Llevo tu voz,La Sonrisa de Julia,"Pop, Pop Rock, Rock",23,2005,2
63,Cuéntame,Alea,"Pop, Latin",24,2005,2
64,Escucha atento,Laura Pausini,"Electronic, House",25,2005,2
